timestamp_et,trade_date_et,slot,event_type,detail
2026-04-06T12:00:03.424842-04:00,2026-04-06,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:05:05.877929-04:00,2026-04-06,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:10:05.895326-04:00,2026-04-06,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:25:05.881954-04:00,2026-04-06,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:30:05.890457-04:00,2026-04-06,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:35:05.882900-04:00,2026-04-06,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:40:05.887169-04:00,2026-04-06,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T12:55:05.885407-04:00,2026-04-06,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:00:05.887824-04:00,2026-04-06,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:05:05.883688-04:00,2026-04-06,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:10:05.894755-04:00,2026-04-06,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:25:05.887688-04:00,2026-04-06,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:30:05.885486-04:00,2026-04-06,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:35:05.888620-04:00,2026-04-06,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:40:05.882912-04:00,2026-04-06,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T13:55:05.882620-04:00,2026-04-06,manage_1400,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:00:05.883215-04:00,2026-04-06,manage_1400,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:05:05.887839-04:00,2026-04-06,manage_1400,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:10:05.888996-04:00,2026-04-06,manage_1400,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:25:05.885384-04:00,2026-04-06,manage_1430,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:30:05.890964-04:00,2026-04-06,manage_1430,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:35:05.889475-04:00,2026-04-06,manage_1430,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:40:05.884687-04:00,2026-04-06,manage_1430,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T14:50:05.889227-04:00,2026-04-06,entry_1500,entry,"{""allocated_cash"": 5180.0, ""contract_symbol"": ""HON260515C00230000"", ""contracts"": 7, ""entry_option_price"": 7.4, ""matched_signals"": 20, ""success_rate"": 100.0, ""ticker"": ""HON""}"
2026-04-06T14:55:05.887845-04:00,2026-04-06,entry_1500,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:00:05.880499-04:00,2026-04-06,entry_1500,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:10:05.888760-04:00,2026-04-06,entry_1500,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:25:05.886761-04:00,2026-04-06,manage_1530,slot_skipped,"{""reason"": ""already_processed""}"
